name,mean,median,variance,std_dev,min,max,range
send_data-1,0.01133332410827279,0.010786711238324642,5.673569044457611e-07,0.0007532309768230201,0.01051346492022276,0.012709580361843109,0.00219611544162035
send_data-10,0.011647942010313272,0.015247856266796589,2.7368900875067524e-06,0.001654354885599445,0.01054486446082592,0.015247856266796589,0.004702991805970669
send_data-100,0.010832050628960133,0.010928384028375149,3.472034701010318e-08,0.0001863339663349202,0.010541665367782116,0.011190319433808327,0.0006486540660262108
send_data-1000,0.011899082642048597,0.010975473560392857,1.7502321366793476e-06,0.0013229633920405159,0.010487483814358711,0.014441879466176033,0.003954395651817322
send_data-10000,0.01198468990623951,0.011459405533969402,6.000636316000341e-07,0.0007746377421737428,0.01145094446837902,0.014139031991362572,0.002688087522983551
send_data-100000,0.019859200436621906,0.019669019617140293,7.044277442816343e-06,0.002654105770841913,0.017162767238914967,0.02665708027780056,0.009494313038885593
send_data-1000000,0.10868506878614426,0.09706841502338648,0.0005598584167757556,0.02366132745168275,0.09406174067407846,0.177936433814466,0.08387469314038754
send_data-10000000,0.9557383904233575,0.9051690306514502,0.03302252400359108,0.18172100595030583,0.876863157376647,1.4996821312233806,0.6228189738467336
send_data-100000000,9.416200387850404,8.629002819769084,4.943976797100972,2.2235055199169107,8.403395863249898,16.055545184761286,7.652149321511388
recv_data-1,0.01204907363280654,0.010808832012116909,3.3325094353407837e-06,0.001825516210648589,0.010645927861332893,0.015078273601830006,0.004432345740497112
recv_data-10,0.011056701187044382,0.010795662179589272,4.205117794470973e-07,0.0006484687960473482,0.01050522644072771,0.012874526903033257,0.002369300462305546
recv_data-100,0.010638713464140892,0.010515725240111351,5.2572973613246313e-08,0.00022928797093010856,0.010244600474834442,0.011122329160571098,0.0008777286857366562
recv_data-1000,0.01227791579440236,0.011178550310432911,4.652717214328168e-06,0.0021570158122573343,0.010646768845617771,0.016635936684906483,0.0059891678392887115
recv_data-10000,0.012567528057843447,0.018977807834744453,4.720655558434388e-06,0.002172706965615563,0.011425345204770565,0.018977807834744453,0.007552462629973888
recv_data-100000,0.02348208799958229,0.020484229549765587,8.723829730379606e-06,0.002953612996040545,0.020484229549765587,0.029985792934894562,0.009501563385128975
recv_data-1000000,0.10617724796757103,0.10550323408097029,6.982338493658524e-06,0.002642411492114452,0.1009152578189969,0.11158073507249355,0.010665477253496647
recv_data-10000000,1.1690533217974006,1.1740693412721157,0.0009213860650643724,0.030354341782756093,1.0889941165223718,1.2090929728001356,0.12009885627776384
recv_data-100000000,12.466134333238006,11.821914126165211,0.982828965714965,0.9913773074440251,11.821914126165211,14.896305678412318,3.074391552247107
