name, mean, median, variance, std_dev, min, max, range
create_session-1, 0.26315371578093616, 0.2534652368631214, 0.008447473514037466, 0.09191013825491433, 0.15547402994707227, 0.4086702710483223, 0.25319624110125005
create_session-10, 0.1582760700257495, 0.16047746501863003, 0.00016663259102675935, 0.01290862467603576, 0.13734518201090395, 0.18568746303208172, 0.04834228102117777
create_session-100, 0.15410748363938181, 0.14693839312531054, 7.609354945844644e-05, 0.008723161666416967, 0.14155124104581773, 0.1699607849586755, 0.02840954391285777
create_session-1000, 0.16226391596719622, 0.15512152086012065, 0.0005218915819972028, 0.022844946530845785, 0.14894854184240103, 0.23029607604257762, 0.0813475342001766
create_session-10000, 0.2798553084954619, 0.2774843431543559, 0.0003864626507893719, 0.01965865333102377, 0.2619203059002757, 0.32891041110269725, 0.06699010520242155
create_session-100000, 0.7585152091924101, 0.7417115338612348, 0.0004793853678153515, 0.02189487081065681, 0.7373212641105056, 0.8192245289683342, 0.08190326485782862
join_session-1, 0.15490846436005085, 0.1630686630960554, 5.411006051723947e-05, 0.007355954086129104, 0.14354706299491227, 0.168698983034119, 0.025151920039206743
join_session-10, 0.1562191220698878, 0.17216527205891907, 4.758392339689758e-05, 0.006898110132267938, 0.14773381687700748, 0.17216527205891907, 0.024431455181911588
join_session-100, 0.15855938161257654, 0.1564977429807186, 3.704942035209454e-05, 0.006086823502623889, 0.14950144896283746, 0.1713931909762323, 0.021891742013394833
join_session-1000, 0.1930641588754952, 0.159637721022591, 0.00865746738188478, 0.09304551242206568, 0.1552986369933933, 0.4718911808449775, 0.3165925438515842
join_session-10000, 0.19900124529376625, 0.15660651284269989, 0.009481373923344555, 0.09737234681029597, 0.1516523479949683, 0.4809109279885888, 0.3292585799936205
join_session-100000, 0.16435604549478738, 0.1616632470395416, 2.256034840280635e-05, 0.004749773510685152, 0.1572570400312543, 0.17162051983177662, 0.014363479800522327
get_session_status-1, 0.1278281635371968, 0.13486412586644292, 3.755416098508921e-05, 0.006128144987277081, 0.11924393405206501, 0.1387103630695492, 0.019466429017484188
get_session_status-10, 0.12880951447878033, 0.11986978584900498, 2.6609249110229635e-05, 0.005158415368136772, 0.11986978584900498, 0.13639429211616516, 0.016524506267160177
get_session_status-100, 0.1276782887754962, 0.13021773588843644, 5.0587212829856056e-05, 0.00711246882804108, 0.11797054088674486, 0.14246718608774245, 0.02449664520099759
get_session_status-1000, 0.13023843467235566, 0.12181932292878628, 0.00010588626847163256, 0.010290105367372706, 0.1202232469804585, 0.1523021028842777, 0.0320788559038192
get_session_status-10000, 0.12723489799536764, 0.1231326898559928, 3.450980259802568e-05, 0.005874504455528626, 0.1184734869748354, 0.135962407104671, 0.017488920129835606
get_session_status-100000, 0.12924005961976945, 0.12119090696796775, 4.432021955476374e-05, 0.006657343280525929, 0.1193195628002286, 0.1384481207933277, 0.019128557993099093
get_var_flag-1, 0.1286823852919042, 0.11880999593995512, 8.347170902829823e-05, 0.00913628529700656, 0.11880999593995512, 0.15031470591202378, 0.03150470997206867
get_var_flag-10, 0.12802598245907576, 0.1429554750211537, 5.64159899293699e-05, 0.0075110578435643735, 0.11835404601879418, 0.1429554750211537, 0.02460142900235951
get_var_flag-100, 0.13040342419408263, 0.12673923606052995, 7.091295335375724e-05, 0.008420982920880272, 0.11963419197127223, 0.14493939490057528, 0.02530520292930305
get_var_flag-1000, 0.12863314170390366, 0.1563703678548336, 0.00010054526509478339, 0.010027226191464088, 0.1170104150660336, 0.1563703678548336, 0.0393599527888
get_var_flag-10000, 0.1283704134868458, 0.13328591198660433, 5.260423281559076e-05, 0.007252877554156747, 0.11545939114876091, 0.13696760684251785, 0.021508215693756938
get_var_flag-100000, 0.12800268568098544, 0.13412003591656685, 3.8754635691715456e-05, 0.006225322135577842, 0.11911278287880123, 0.13544898200780153, 0.016336199129000306
get_var_size-1, 0.15324397983495147, 0.14649293315596879, 2.0370742587562693e-05, 0.004513395904146089, 0.14649293315596879, 0.15987344505265355, 0.013380511896684766
get_var_size-10, 0.1526482927147299, 0.15582801005803049, 2.3413499120846847e-05, 0.004838749747697937, 0.14611287415027618, 0.16125497594475746, 0.015142101794481277
get_var_size-100, 0.16150908598210661, 0.15282681793905795, 0.00022466837145895257, 0.014988941639053526, 0.1434623571112752, 0.20166059490293264, 0.05819823779165745
get_var_size-1000, 0.1529740490950644, 0.16274453699588776, 2.2274305022180877e-05, 0.004719566190041292, 0.1488918079994619, 0.16274453699588776, 0.013852728996425867
get_var_size-10000, 0.15380632262676955, 0.13676613592542708, 7.480659533970676e-05, 0.008649080606614021, 0.13676613592542708, 0.17008902179077268, 0.0333228858653456
get_var_size-100000, 0.1586491724010557, 0.1652622390538454, 2.6387527771832134e-05, 0.005136879186026486, 0.15134601294994354, 0.16776646790094674, 0.016420454951003194
end_session-1, 0.15837923309300095, 0.15466560190543532, 7.73434263539508e-05, 0.008794511149231138, 0.15053708502091467, 0.1831202800385654, 0.03258319501765072
end_session-10, 0.1575641683069989, 0.15452852891758084, 2.8147347739335218e-05, 0.005305407405594336, 0.15026465291157365, 0.16881798300892115, 0.018553330097347498
end_session-100, 0.169418971426785, 0.15302455192431808, 0.001247221754169865, 0.0353160268740676, 0.15113862184807658, 0.2735971121583134, 0.12245849031023681
end_session-1000, 0.16333785406313836, 0.15702875005081296, 4.096514411452645e-05, 0.006400401871330147, 0.1537339580245316, 0.17382161994464695, 0.02008766192011535
end_session-10000, 0.21305040048900992, 0.2364029821474105, 0.00015010051757837362, 0.012251551639624004, 0.1972064790315926, 0.2364029821474105, 0.039196503115817904
end_session-100000, 2.681146410992369, 3.994055553106591, 0.7282063196344003, 0.8533500569135742, 0.7899309988133609, 3.994055553106591, 3.20412455429323
send_data-1, 0.15417381469160318, 0.1486639471258968, 2.717693131912965e-05, 0.005213149846218661, 0.14650323800742626, 0.16468654107302427, 0.01818330306559801
send_data-10, 0.1566922132857144, 0.1504622979555279, 5.7595346462189436e-05, 0.007589159799489627, 0.14738391991704702, 0.17289533792063594, 0.025511418003588915
send_data-100, 0.15647853380069138, 0.15655561606399715, 5.271775592150574e-05, 0.007260699409940184, 0.1435348738450557, 0.16747674206271768, 0.023941868217661977
send_data-1000, 0.1568960242671892, 0.1612728398758918, 2.4156550624225696e-05, 0.004914931395678448, 0.14778390689752996, 0.16432431899011135, 0.01654041209258139
send_data-10000, 0.2351564560085535, 0.2240001040045172, 0.00020928654031708666, 0.014466739104479856, 0.22308342484757304, 0.2745494970586151, 0.05146607221104205
send_data-100000, 0.5081935971276834, 0.49796991399489343, 0.0003794379485947842, 0.01947916704057913, 0.4898405869025737, 0.562258772784844, 0.07241818588227034
send_data-1000000, 3.3828517391579225, 3.4366495180875063, 0.018255136407543976, 0.1351115702208511, 3.1556702458765358, 3.55611482122913, 0.40044457535259426
recv_data-1, 0.12707620908040554, 0.12582283606752753, 4.598837228147144e-05, 0.006781472722165256, 0.11825285898521543, 0.13894735788926482, 0.020694498904049397
recv_data-10, 0.12616314578335733, 0.11937541491352022, 4.525812070515505e-05, 0.006727415603718492, 0.11591357178986073, 0.13792153005488217, 0.022007958265021443
recv_data-100, 0.1270778049947694, 0.12432739185169339, 1.6237028287431825e-05, 0.004029519610007107, 0.11977270687930286, 0.13276736112311482, 0.012994654243811965
recv_data-1000, 0.12737371849361806, 0.1375498950947076, 3.832577665271571e-05, 0.006190781586578201, 0.11979290400631726, 0.1375498950947076, 0.01775699108839035
recv_data-10000, 0.2164901547599584, 0.215737922815606, 3.798538728450879e-05, 0.006163228641264965, 0.20606320118531585, 0.22455345187336206, 0.018490250688046217
recv_data-100000, 0.6916842375649139, 0.7015276728197932, 0.0018940504557711613, 0.043520689973519044, 0.6202637429814786, 0.7475158688612282, 0.12725212587974966
recv_data-1000000, 3.775661001517437, 3.922595397103578, 0.006198785135526642, 0.07873236396505977, 3.6629099561832845, 3.922595397103578, 0.25968544092029333
