name, mean, median, variance, std_dev, min, max, range
create_session-1, 0.038079471999981254, 0.03575311199983844, 7.161514046524195e-05, 0.00846257292229981, 0.03373731800002133, 0.06325506799998948, 0.029517749999968146
create_session-10, 0.035808680400054985, 0.036418675000049916, 5.705588409010509e-07, 0.0007553534542855092, 0.03411648300016168, 0.03666917700002159, 0.002552693999859912
create_session-100, 0.036025147500004094, 0.03571797599988713, 6.59046208141793e-07, 0.0008118166099198716, 0.034894836999910694, 0.03781778799998392, 0.002922951000073226
create_session-1000, 0.03631052560001535, 0.034333400999912556, 1.5884126094773342e-06, 0.0012603224228257364, 0.03423081699997965, 0.03749969000000419, 0.0032688730000245414
create_session-10000, 0.04382769340002142, 0.044376480999972046, 7.435746410920394e-07, 0.0008623077415238944, 0.04243660100019042, 0.04505389600012677, 0.002617294999936348
create_session-100000, 0.11859978750001118, 0.11702074999993783, 2.8120356021835397e-05, 0.005302863002363478, 0.10910992200001601, 0.12952591199996277, 0.02041598999994676
create_session-1000000, 1.0093431059999376, 0.9971577179999258, 0.00022309076824749875, 0.014936223359587882, 0.9925871020000159, 1.0383066499998677, 0.045719547999851784
join_session-1, 0.03511433610001404, 0.03631050400008462, 1.0638823237337326e-06, 0.0010314467139575037, 0.033259552999879816, 0.03631050400008462, 0.0030509510002048046
join_session-10, 0.03575581839997995, 0.0360615649999545, 4.888090173771752e-07, 0.0006991487805733306, 0.034247041000071476, 0.03673773700006677, 0.002490695999995296
join_session-100, 0.03611040180001055, 0.03684004100000493, 9.612360108598481e-07, 0.000980426443370357, 0.03405022100014321, 0.03753402699999242, 0.00348380599984921
join_session-1000, 0.035592068599953564, 0.03494300099987413, 3.4567131389353934e-07, 0.0005879381888375166, 0.034728436000023066, 0.03637810200007152, 0.0016496660000484553
join_session-10000, 0.03642520830001104, 0.03690877099984391, 5.285134667078742e-07, 0.0007269893167769897, 0.035042658000065785, 0.03765031600005386, 0.002607657999988078
join_session-100000, 0.04091517939998539, 0.040780956999924456, 1.036127270405812e-06, 0.0010179033698764397, 0.038807413000085944, 0.04219032099990727, 0.0033829079998213274
join_session-1000000, 2.661473763899994, 3.1540400040000804, 0.7156542998308635, 0.8459635333930556, 0.2379581089999192, 3.273963927000068, 3.036005818000149
get_session_status-1, 0.03557095159999335, 0.035796519000086846, 7.758705132564666e-07, 0.0008808351226287849, 0.033615003000022625, 0.036614609000025666, 0.002999606000003041
get_session_status-10, 0.03596738400008235, 0.03533402800007934, 8.75640431096373e-07, 0.0009357566088980473, 0.03424253499997576, 0.03741613700003654, 0.0031736020000607823
get_session_status-100, 0.035937910299981016, 0.03520378300004268, 9.470776043902927e-07, 0.0009731791224591148, 0.03352411299988489, 0.036864239000124144, 0.003340126000239252
get_session_status-1000, 0.03572207709992199, 0.03637910599991301, 1.1217007756801486e-06, 0.0010591037605825733, 0.03357467699993322, 0.037341628000149285, 0.0037669510002160678
get_session_status-10000, 0.03607844600005592, 0.03466874600007941, 4.105425721093148e-07, 0.0006407359613049004, 0.03466874600007941, 0.03695003000007091, 0.0022812839999915013
get_session_status-100000, 0.03538317590000588, 0.035807650000151625, 1.0237434438635977e-06, 0.0010118020774161306, 0.03390867699999944, 0.037216241999885824, 0.003307564999886381
get_var_flag-1, 0.03620043590001387, 0.03535596100005023, 2.86115537934948e-07, 0.0005348976892219184, 0.03527363500006686, 0.03686824700002944, 0.0015946119999625807
get_var_flag-10, 0.035652357600065444, 0.03643514200007303, 5.31353467966659e-07, 0.0007289399618395599, 0.03397332899999128, 0.03646034899998085, 0.0024870199999895704
get_var_flag-100, 0.03605467869997483, 0.03584644400007164, 7.193741460003882e-07, 0.0008481592692415666, 0.03465623400006734, 0.037849493000067014, 0.0031932589999996708
get_var_flag-1000, 0.03549217620000036, 0.03404428199996801, 9.444798951433699e-07, 0.0009718435548705202, 0.03368204999992486, 0.03642518300011943, 0.0027431330001945753
get_var_flag-10000, 0.036019201500039344, 0.03673656099999789, 6.443315914905092e-07, 0.0008027026793841598, 0.03414622400009648, 0.03714378500012572, 0.0029975610000292363
get_var_flag-100000, 0.03577150800003892, 0.036512736000076984, 6.507464835157092e-07, 0.0008066885914128879, 0.0342461220000132, 0.0366776480000226, 0.0024315260000093986
get_var_flag-1000000, 2.6948715083000025, 3.172574625000152, 0.8194484646704749, 0.9052339281481195, 0.15258876699999746, 3.209634434999998, 3.0570456680000007
get_var_size-1, 0.035523990599995156, 0.03569301800007452, 1.1243342373338883e-06, 0.0010603462818032081, 0.03356942999994317, 0.03670709499988334, 0.0031376649999401707
get_var_size-10, 0.03556595680004193, 0.03676567600018643, 9.681443093095533e-07, 0.0009839432449636277, 0.03389468199998191, 0.036796312999967995, 0.0029016309999860823
get_var_size-100, 0.03523530549998668, 0.03390029299998787, 9.119412075217232e-07, 0.0009549561285848283, 0.03355774800002109, 0.03663979900011327, 0.0030820510000921786
get_var_size-1000, 0.035420314699968, 0.036988225999948554, 1.4541653754801273e-06, 0.0012058877955598221, 0.033406022000008306, 0.036988225999948554, 0.0035822039999402477
get_var_size-10000, 0.03581872040003873, 0.036291544000050635, 6.953137729351448e-07, 0.0008338547672917298, 0.03413945300007981, 0.037215371999991476, 0.0030759189999116643
get_var_size-100000, 0.035922530900006674, 0.036846228000058545, 8.995138666324693e-07, 0.000948427048661345, 0.03343090899988965, 0.036846228000058545, 0.0034153190001688927
get_var_size-1000000, 2.608273279700029, 3.2747146199999406, 0.7564014856393494, 0.8697134503038052, 0.1521257610002067, 3.2747146199999406, 3.122588858999734
end_session-1, 0.036504915199952845, 0.036051133000000846, 1.321077894703238e-06, 0.0011493815270410595, 0.034534235999899465, 0.039241658000037205, 0.00470742200013774
end_session-10, 0.03573180660000617, 0.036878310000020065, 2.872299335045656e-06, 0.0016947859260230055, 0.0340179669999543, 0.04007115799981875, 0.006053190999864455
end_session-100, 0.03563271689999965, 0.03604135499995209, 1.3445420755710944e-06, 0.0011595439084274017, 0.03324458899987803, 0.037887248000060936, 0.004642659000182903
end_session-1000, 0.03590229440001167, 0.03526269899998624, 5.785245914880729e-07, 0.0007606080406412181, 0.03478273500013529, 0.03693208000004233, 0.0021493449999070435
end_session-10000, 0.037075682500062615, 0.036859273000118264, 7.676241217395084e-07, 0.0008761416105513471, 0.03577255799996237, 0.0387820420000935, 0.003009484000131124
end_session-100000, 0.04835917670004619, 0.053716481000037675, 5.209117276389497e-06, 0.0022823490697939913, 0.045069534000049316, 0.053716481000037675, 0.008646946999988359
end_session-1000000, 3.0111977322000483, 3.288179244000048, 0.9593953751945639, 0.9794873022120113, 0.149292424000123, 3.5373277260000577, 3.3880353019999347
send_data-1, 0.03605799110000589, 0.03589098199995533, 1.347519239413706e-06, 0.0011608269635969462, 0.03396060699992631, 0.03854911500002345, 0.004588508000097136
send_data-10, 0.036358989799987286, 0.04313422499990338, 6.031102861295008e-06, 0.0024558303812142663, 0.03356217900000047, 0.04313422499990338, 0.009572045999902912
send_data-100, 0.03572513560002335, 0.03568655799995213, 2.3187389278243364e-07, 0.000481532857427646, 0.03490885300016089, 0.03656183400016744, 0.0016529810000065481
send_data-1000, 0.0358639813000309, 0.03481770200005485, 6.521685438979813e-07, 0.0008075695288320265, 0.03478550099998756, 0.03731066499994995, 0.0025251639999623876
send_data-10000, 0.03738224280002669, 0.03715810600010627, 6.346362611165616e-07, 0.0007966406097586048, 0.03568430200016337, 0.03889086899994254, 0.00320656699977917
send_data-100000, 0.04179899479995584, 0.041823297000064485, 3.5950138860973432e-06, 0.0018960521844341054, 0.03912900599993918, 0.04656592399987858, 0.007436917999939396
send_data-1000000, 0.1096278018999783, 0.10003238700005568, 0.0007567501418504557, 0.02750909198520474, 0.09589128199991137, 0.19181330199990043, 0.09592201999998906
recv_data-1, 0.035657516799938095, 0.03612652600008914, 1.2396589662812666e-06, 0.0011133997333757839, 0.0339300819998698, 0.037260658999912266, 0.0033305770000424673
recv_data-10, 0.03560414039995976, 0.03555224399997314, 1.3544674111345255e-06, 0.0011638158836923156, 0.033614938000027905, 0.03708171400012361, 0.003466776000095706
recv_data-100, 0.035757225400016066, 0.035581680999939636, 1.5717786869632123e-06, 0.0012537059810670173, 0.03352771400000165, 0.03742480899995826, 0.0038970949999566074
recv_data-1000, 0.03624738290000096, 0.03585586600001989, 1.0579180583120236e-06, 0.0010285514368819984, 0.03377222399990387, 0.03740820899997743, 0.0036359850000735605
recv_data-10000, 0.03690235390001817, 0.03521994900006575, 4.7119664982287355e-06, 0.0021707064514182323, 0.03437650199998643, 0.042518747000031, 0.008142245000044568
recv_data-100000, 0.044089655399943695, 0.038534358000106295, 9.231247573579911e-05, 0.009607938162571567, 0.038534358000106295, 0.07275833199992121, 0.034223973999814916
recv_data-1000000, 0.07343107740000505, 0.07390443000008418, 3.39119365329234e-06, 0.0018415193871616827, 0.0697896449999007, 0.07627865799986466, 0.006489012999963961
